product_id,product_name,category,main_category,sub_category,discounted_price_clean,actual_price_clean,discount_pct_clean,rating_clean,rating_count_clean,economia_absoluta,faixa_preco,faixa_desconto,volume_reviews_bin,img_link,product_link,review_rows,PSI,cluster,pca_1,pca_2,cluster_name
B08243SKCK,"Vedini Transparent Empty Refillable Reusable Fine Mist Spray Bottle for Perfume, Travel with DIY Sticker Set ( 100ml, Pack of 4)",Home&Kitchen|HomeStorage&Organization|LaundryOrganization|IroningAccessories|SprayBottles,Home&Kitchen,HomeStorage&Organization,189.0,299.0,37.0,4.2,2737.0,110.0,budget,medium,high,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41cAIdLrGPL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Vedini-Refillable-Spray-Bottle-Transparent/dp/B08243SKCK/ref=sr_1_212?qid=1672923601&s=kitchen&sr=1-212,1,59.2795794479434,0,-0.2980492875964051,-0.16570727653827177,segmento misto
B095K14P86,"Saiyam Stainless Steel Espresso Maker Stovetop Coffee Percolator Italian Coffee Maker Moka Pot (4 Cup - 200 ml, Silver)","Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|StovetopEspressoPots",Home&Kitchen,Kitchen&HomeAppliances,599.0,1299.0,54.0,4.2,590.0,700.0,mid,high,medium,https://m.media-amazon.com/images/I/414gUKUBHML._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Saiyam-Stainless-Espresso-Maker-Percolator/dp/B095K14P86/ref=sr_1_394?qid=1672923612&s=kitchen&sr=1-394,1,59.278569672843,4,-0.030147338753323406,0.2807046173690422,barato com alto desconto
B09Q8HMKZX,"Portronics Konnect L 20W PD Quick Charge Type-C to 8-Pin USB Mobile Charging Cable, 1.2M, Tangle Resistant, Fast Data Sync(Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,Computers&Accessories,Accessories&Peripherals,263.0,699.0,62.0,4.1,450.0,436.0,budget,high,medium,https://m.media-amazon.com/images/I/41x3iKbD-+L._SX342_SY445_.jpg,https://www.amazon.in/Portronics-Konnect-Charge-Charging-Resistant/dp/B09Q8HMKZX/ref=sr_1_74?qid=1672909128&s=electronics&sr=1-74,2,59.27546539879245,4,-0.024173293559615665,0.7112431929305069,barato com alto desconto
B0B2931FCV,"ZEBRONICS Zeb-Sound Bomb N1 True Wireless in Ear Earbuds with Mic ENC, Gaming Mode (up to 50ms), up to 18H Playback, BT V5.2, Fidget Case, Voice Assistant, Splash Proof, Type C (Midnight Black)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",Electronics,"Headphones,Earbuds&Accessories",999.0,4199.0,76.0,3.5,1913.0,3200.0,mid,high,high,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31i5nmWFmhL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Zebronics-Zeb-Sound-N1-Bluetooth-Assistant/dp/B0B2931FCV/ref=sr_1_338?qid=1672903012&s=computers&sr=1-338,1,59.26252075731436,1,-0.5914053174121211,2.119046101597003,segmento misto
B09KH58JZR,Portronics Konnect L POR-1403 Fast Charging 3A Type-C Cable 1.2 Meter with Charge & Sync Function for All Type-C Devices (White),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,Computers&Accessories,Accessories&Peripherals,210.0,399.0,47.0,4.1,1717.0,189.0,budget,medium,high,https://m.media-amazon.com/images/I/21rxGo3S7FL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Portronics-Konnect-POR-1403-Charging-Function/dp/B09KH58JZR/ref=sr_1_129?qid=1672909130&s=electronics&sr=1-129,1,59.231092310691366,0,-0.27463625752067833,0.29433365187917626,segmento misto
B07L9FW9GF,"Zebronics Zeb-Power Wired USB Mouse, 3-Button, 1200 DPI Optical Sensor, Plug & Play, for Windows/Mac","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",Computers&Accessories,Accessories&Peripherals,149.0,249.0,40.0,4.0,5057.0,100.0,budget,medium,high,https://m.media-amazon.com/images/I/31aJNyKmGHL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Zebronics-Zeb-Power-Wired-Mouse-Black/dp/B07L9FW9GF/ref=sr_1_297?qid=1672903010&s=computers&sr=1-297,1,59.22110554383018,0,-0.4979514802084487,0.2749842313667991,segmento misto
B07J2BQZD6,"Kuber Industries Nylon Mesh Laundry Basket|Sturdy Material & Durable Handles|Netted Lightweight Laundry Bag, Size 36 x 36 x 58, Capicity 30 Ltr (Pink)",Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets,Home&Kitchen,HomeStorage&Organization,199.0,399.0,50.0,3.7,7945.0,200.0,budget,medium,high,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51Ule90yh0L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Kuber-Industries-Laundry-Basket-CTKTC1475/dp/B07J2BQZD6/ref=sr_1_427?qid=1672923613&s=kitchen&sr=1-427,1,59.21302378447775,1,-0.7034218336948469,1.0818214074773769,segmento misto
B09F3PDDRF,"Lapster USB 3.0 sata Cable for 2.5 inch SSD and HDD , USB 3.0 to SATA III Hard Driver Adapter , sata to USB Cable-(Blue)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|SATACables,Computers&Accessories,Accessories&Peripherals,349.0,999.0,65.0,3.9,817.0,650.0,budget,high,medium,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41FrpTwOndL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/LAPSTER-SATA-CABLE-LAPTOP-DESKTOP/dp/B09F3PDDRF/ref=sr_1_353?qid=1672903012&s=computers&sr=1-353,1,59.16287030000183,1,-0.24993643770658183,1.1475386156511655,segmento misto
B09RMQYHLH,"realme narzo 50 (Speed Blue, 4GB RAM+64GB Storage) Helio G96 Processor | 50MP AI Triple Camera | 120Hz Ultra Smooth Display",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,Electronics,Mobiles&Accessories,12999.0,15999.0,19.0,4.2,13246.0,3000.0,luxury,low,high,https://m.media-amazon.com/images/I/51UzDSGpNWL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/realme-Storage-Processor-Triple-Display/dp/B09RMQYHLH/ref=sr_1_52?qid=1672895762&s=electronics&sr=1-52,1,59.142576408298034,0,-0.6841933983341945,-1.731246477182618,segmento misto
B0B21XL94T,Toshiba 108 cm (43 inches) V Series Full HD Smart Android LED TV 43V35KP (Silver),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",Electronics,"HomeTheater,TV&Video",21990.0,34990.0,37.0,4.3,1657.0,13000.0,luxury,medium,high,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51iQQPQSiGL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Toshiba-inches-Android-43V35KP-Silver/dp/B0B21XL94T/ref=sr_1_425?qid=1672909145&s=electronics&sr=1-425,1,59.13332854444112,3,-0.4735707733724103,-2.102617509346802,premium bem avaliado
